"Census Profile, 2021 Census of Population",,,
,,,British Columbia [Province]
,,,Counts
Topic,Characteristic,Total,
Household characteristics,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",663870,
Household characteristics,  % of tenant households in subsidized housing,11,
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,37.8,
Household characteristics,  % in core housing need,24.7,
Household characteristics,  Median monthly shelter costs for rented dwellings ($),1370,
Household characteristics,  Average monthly shelter costs for rented dwellings ($),1494,
Household characteristics,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",9190,
Household characteristics,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",11.4,
Household characteristics,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",368,
Household characteristics,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",446,
